id,lema,oracion,clase,stat,dyn,tel,pun,transitivo,pronominal,fuente,revisar
337,organizar,Juan organiza el evento.,Accomplishment,0,0,1,0,1,0,augment_presente,False
338,demoler,Juan demuele el muro.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
339,convencer,Juan convence a su amigo.,Achievement,0,0,1,1,1,0,augment_presente,False
340,curar,El médico cura al paciente.,Accomplishment,0,0,1,0,1,0,augment_presente,False
341,restaurar,Juan restaura la iglesia.,Accomplishment,0,0,1,0,1,0,augment_presente,False
342,reformar,Juan reforma la cocina.,Accomplishment,0,0,1,0,1,0,augment_presente,False
343,elaborar,Juan elabora el informe.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
344,fabricar,Juan fabrica la pieza.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
345,producir,Juan produce la película.,Accomplishment,0,0,1,0,1,0,augment_presente,False
346,desarrollar,Juan desarrolla el programa.,Accomplishment,0,0,1,0,1,0,augment_presente,False
347,redactar,Juan redacta el contrato.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
348,calcular,Juan calcula el presupuesto.,Accomplishment,0,0,1,0,1,0,augment_presente,False
349,planificar,Juan planifica el viaje.,Accomplishment,0,0,1,0,1,0,augment_presente,False
350,ensamblar,Juan ensambla la máquina.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
351,fundar,Juan funda la empresa.,Accomplishment,0,0,1,0,1,0,augment_presente,False
352,establecer,Juan establece las reglas.,Accomplishment,0,0,1,0,1,0,augment_presente,False
353,erradicar,Juan erradica la enfermedad.,Accomplishment,0,0,1,0,1,0,augment_presente,False
354,sanar,Los médicos sanan a los pacientes.,Accomplishment,0,0,1,0,1,0,augment_presente,True
355,cicatrizar,La herida cicatriza.,Accomplishment,0,0,1,0,0,0,augment_presente,False
356,madurar,Las frutas maduran al sol.,Accomplishment,0,0,1,0,0,0,augment_presente,False
357,fermentar,El vino fermenta.,Accomplishment,0,0,1,0,0,0,augment_presente,False
358,hipar,Los niños hipan tras llorar.,Semelfactive,0,1,0,1,0,0,augment_presente,True
359,negar,Juan niega con la cabeza.,Semelfactive,0,1,0,1,0,1,augment_presente,False
360,correr,Juan corre cinco kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
361,leer,Juan lee el libro.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
362,comer,Juan come la sopa.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
363,beber,Juan bebe el vaso.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
364,dibujar,Juan dibuja el mapa.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
365,cruzar,Juan cruza el río.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
366,escalar,Juan escala el cerro cada domingo.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
367,cocinar,Juan cocina el arroz.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
368,buscar,Juan busca las llaves.,Activity,0,1,0,0,1,0,augment_presente,False
369,traducir,Juan traduce el texto.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
370,limpiar,Juan limpia la casa.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
371,escribir,Juan escribe la carta.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
372,hacer,Juan hace la tarea.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
373,pintar,Juan pinta la barda.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
374,construir,Juan construye el muro.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
375,armar,Juan arma el mueble.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
376,plantar,Juan planta el árbol.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
377,consumir,Juan consume el tanque.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
378,recorrer,Juan recorre el camino.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
379,terminar,Juan termina el proyecto.,Achievement,0,0,1,1,1,0,augment_presente,False
380,vaciar,Juan vacía la botella.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
381,llenar,Juan llena el formulario.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
382,agotar,Juan agota las reservas.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
383,revisar,Juan revisa el documento.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
384,demoler,Juan demuele el edificio.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
385,recorrer,Juan recorre la ciudad.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
386,aprender,Juan aprende la lección.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
387,ganar,Juan gana el partido.,Achievement,0,0,1,1,1,0,augment_presente,False
388,resolver,Juan resuelve el problema.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
389,completar,Juan completa el curso.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
390,cubrir,Juan cubre la distancia.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
391,agotar,Juan agota el tiempo.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
392,comer,Juan come sopa.,Activity,0,1,0,0,1,0,augment_presente,False
393,beber,Juan bebe agua.,Activity,0,1,0,0,1,0,augment_presente,False
394,cocinar,Juan cocina.,Activity,0,1,0,0,0,0,augment_presente,False
395,dibujar,Juan dibuja paisajes.,Activity,0,1,0,0,1,0,augment_presente,False
396,cantar,Juan canta el himno.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
397,nadar,Los nadadores nadan dos kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
398,caminar,Juan camina diez kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
399,patear,Juan patea el balón.,Semelfactive,0,0.5,0,1,1,0,augment_presente,False
400,aplaudir,Juan aplaude.,Activity,0,1,0,0,0,0,augment_presente,False
401,guiñar,Juan guiña un ojo.,Semelfactive,0,0.5,0,1,1,0,augment_presente,False
402,palmear,Juan siempre palmea la mesa.,Semelfactive,0,0.5,0,1,1,0,augment_presente,True
403,tamborilear,Juan tamborilea en la mesa con los dedos.,Semelfactive,0,0.5,0,1,0,0,augment_presente,False
404,repicar,La campana repica.,Semelfactive,0,0,0,1,0,0,augment_presente,False
405,suspirar,Juan suspira.,Semelfactive,0,0,0,1,0,0,augment_presente,False
406,escupir,Juan escupe.,Semelfactive,0,0.5,0,1,0,0,augment_presente,False
407,soplar,Juan sopla.,Activity,0,1,0,0,0,0,augment_presente,False
408,pellizcar,Juan pellizca a su hermano.,Semelfactive,0,0.5,0,1,1,0,augment_presente,False
409,vislumbrar,Juan vislumbra la costa.,Semelfactive,0,0,0,1,1,0,augment_presente,False
410,crujir,La rama siempre cruje con el viento.,Semelfactive,0,0,0,1,0,0,augment_presente,False
411,chirriar,La puerta chirría.,Activity,0,1,0,0,0,0,augment_presente,False
412,cabecear,Juan cabecea.,Semelfactive,0,0.5,0,1,0,0,augment_presente,False
413,resoplar,Juan resopla.,Semelfactive,0,0,0,1,0,0,augment_presente,False
414,eructar,Juan siempre eructa tras la comida.,Semelfactive,0,0,0,1,0,0,augment_presente,True
415,derretirse,El hielo se derrite.,Accomplishment,0,0.5,1,0,0,1,augment_presente,False
416,congelarse,El agua se congela.,Accomplishment,0,0.5,1,0,0,1,augment_presente,False
417,evaporarse,El agua se evapora.,Accomplishment,0,0.5,1,0,0,1,augment_presente,False
418,oxidarse,El metal se oxida.,Accomplishment,0,0.5,1,0,0,1,augment_presente,False
419,disolverse,El azúcar se disuelve.,Accomplishment,0,0.5,1,0,0,1,augment_presente,False
420,marchitarse,La flor se marchita.,Accomplishment,0,0.5,1,0,0,1,augment_presente,False
421,agrietarse,El muro se agrieta.,Achievement,0,0,1,1,0,1,augment_presente,False
422,quebrarse,La rama se quiebra.,Achievement,0,0,1,1,0,1,augment_presente,False
423,desplomarse,El puente se desploma.,Achievement,0,0,1,1,0,1,augment_presente,False
424,volcarse,El camión se vuelca.,Achievement,0,0,1,1,0,1,augment_presente,False
425,reventar,El globo revienta.,Achievement,0,0,1,1,0,0,augment_presente,False
426,reír,Juan ríe.,Activity,0,1,0,0,0,0,augment_presente,False
427,saber,María sabe la verdad.,State,1,0,0,0,1,0,augment_state,False
428,creer,El niño cree en los fantasmas.,State,1,0,0,0,1,0,augment_state,False
429,tener,La empresa tiene problemas.,State,1,0,0,0,1,0,augment_state,False
430,contener,El frasco contiene azúcar.,State,1,0,0,0,1,0,augment_state,False
431,necesitar,La ciudad necesita agua.,State,1,0,0,0,1,0,augment_state,False
432,ignorar,El alumno ignora la regla.,State,1,0,0,0,1,0,augment_state,False
433,odiar,María odia el frío.,State,1,0,0,0,1,0,augment_state,False
434,amar,La abuela ama las flores.,State,1,0,0,0,1,0,augment_state,False
435,recordar,El testigo recuerda el accidente.,State,1,0,0,0,1,0,augment_state,False
436,olvidar,El paciente olvida los nombres.,State,1,0,0,0,1,0,augment_state,False
437,pertenecer,La finca pertenece al municipio.,State,1,0,0,0,0,0,augment_state,False
438,existir,La injusticia existe.,State,1,0,0,0,0,0,augment_state,False
439,costar,La entrada cuesta veinte euros.,State,1,0,0,0,0,0,augment_state,False
440,depender,La cosecha depende de la lluvia.,State,1,0,0,0,0,0,augment_state,False
441,desear,El equipo desea la victoria.,State,1,0,0,0,1,0,augment_state,False
442,preferir,La niña prefiere el helado.,State,1,0,0,0,1,0,augment_state,False
443,suponer,El juez supone su inocencia.,State,1,0,0,0,1,0,augment_state,False
444,entender,La alumna entiende el problema.,State,1,0,0,0,1,0,augment_state,False
445,comprender,El lector comprende la novela.,State,1,0,0,0,1,0,augment_state,False
446,temer,El perro teme los truenos.,State,1,0,0,0,1,0,augment_state,False
447,respetar,El pueblo respeta la tradición.,State,1,0,0,0,1,0,augment_state,False
448,admirar,La crítica admira su obra.,State,1,0,0,0,1,0,augment_state,False
449,envidiar,El vecino envidia su suerte.,State,1,0,0,0,1,0,augment_state,False
450,merecer,La actriz merece el premio.,State,1,0,0,0,1,0,augment_state,False
451,dudar,El científico duda del resultado.,State,1,0,0,0,0,0,augment_state,False
452,bastar,Una firma basta.,State,1,0,0,0,0,0,augment_state,False
453,costar,El libro costó diez euros.,State,1,0,0,0,0,0,augment_state,False
454,tener,Juan tuvo tres coches.,State,1,0,0,0,1,0,augment_state,False
455,pertenecer,La casa perteneció a su familia durante décadas.,State,1,0,0,0,0,0,augment_state,False
456,amar,Juan amó a María toda su vida.,State,1,0,0,0,1,0,augment_state,False
457,valer,El cuadro valió una fortuna.,State,1,0,0,0,0,0,augment_state,False
458,temer,La abuela temió las tormentas toda su vida.,State,1,0,0,0,1,0,augment_state,False
459,correr,Juan corrió diez kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
460,correr,María corrió la maratón.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
461,caminar,María caminó una milla.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
462,recorrer,El excursionista recorrió el sendero.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
463,nadar,Ana nadó tres kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
464,pedalear,El ciclista pedaleó veinte kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
465,volar,El piloto voló mil kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
466,navegar,El barco navegó cien millas.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
467,escalar,Juan escaló mil metros.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
468,cruzar,Juan cruzó el puente.,Active_Accomplishment,0,1,1,0,1,0,augment_medida,False
469,comer,Juan come manzanas.,Activity,0,1,0,0,1,0,augment_habitual,False
470,beber,María bebe todos los días.,Activity,0,1,0,0,0,0,augment_habitual,False
471,leer,El niño lee novelas.,Activity,0,1,0,0,1,0,augment_habitual,False
472,escribir,Ella escribe por las mañanas.,Activity,0,1,0,0,0,0,augment_habitual,False
473,correr,El perro corre en el parque.,Activity,0,1,0,0,0,0,augment_habitual,False
474,caminar,Los abuelos caminan lentamente.,Activity,0,1,0,0,0,0,augment_habitual,False
475,trabajar,El ingeniero trabaja mucho.,Activity,0,1,0,0,0,0,augment_habitual,False
476,estudiar,Ana estudia física.,Activity,0,1,0,0,1,0,augment_habitual,False
477,cantar,El coro canta hermoso.,Activity,0,1,0,0,0,0,augment_habitual,False
478,bailar,Ellos bailan salsa.,Activity,0,1,0,0,1,0,augment_habitual,False
479,jugar,Los niños juegan afuera.,Activity,0,1,0,0,0,0,augment_habitual,False
480,fumar,El hombre fuma puros.,Activity,0,1,0,0,1,0,augment_habitual,False
481,comer,Los gatos comen pescado.,Activity,0,1,0,0,1,0,augment_habitual,False
482,beber,El equipo bebe agua.,Activity,0,1,0,0,1,0,augment_habitual,False
483,leer,Mi madre lee todas las noches.,Activity,0,1,0,0,0,0,augment_habitual,False
484,escribir,El autor escribe cuentos.,Activity,0,1,0,0,1,0,augment_habitual,False
485,correr,Los atletas corren rápido.,Activity,0,1,0,0,0,0,augment_habitual,False
486,trabajar,Mis amigos trabajan los domingos.,Activity,0,1,0,0,0,0,augment_habitual,False
487,comer,Juan se come la manzana.,Active_Accomplishment,0,1,1,0,1,1,augment_habitual,False
488,beber,María se bebe el café.,Active_Accomplishment,0,1,1,0,1,1,augment_habitual,False
489,leer,El niño lee el libro.,Active_Accomplishment,0,1,1,0,1,0,augment_habitual,False
490,escribir,Ella escribe la carta.,Active_Accomplishment,0,1,1,0,1,0,augment_habitual,False
491,correr,El atleta corre los cien metros.,Active_Accomplishment,0,1,1,0,1,0,augment_habitual,False
492,caminar,Ana camina los dos kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_habitual,False
493,fumar,El hombre se fuma el cigarrillo.,Active_Accomplishment,0,1,1,0,1,1,augment_habitual,False
494,cantar,El artista canta la canción entera.,Active_Accomplishment,0,1,1,0,1,0,augment_habitual,False
495,bailar,Ellos bailan la pieza completa.,Active_Accomplishment,0,1,1,0,1,0,augment_habitual,False
496,comer,El perro se come el hueso.,Active_Accomplishment,0,1,1,0,1,1,augment_habitual,False
497,beber,El equipo se bebe el barril.,Active_Accomplishment,0,1,1,0,1,1,augment_habitual,False
498,escribir,El autor escribe la novela final.,Active_Accomplishment,0,1,1,0,1,0,augment_habitual,False
499,saber,La maestra sabe la respuesta.,State,1,0,0,0,1,0,augment_habitual,False
500,amar,La niña ama a los animales.,State,1,0,0,0,1,0,augment_habitual,False
501,odiar,El gato odia el agua.,State,1,0,0,0,1,0,augment_habitual,False
502,tener,La casa tiene tres ventanas.,State,1,0,0,0,1,0,augment_habitual,False
503,necesitar,El coche necesita gasolina.,State,1,0,0,0,1,0,augment_habitual,False
504,creer,El sacerdote cree en la historia.,State,1,0,0,0,1,0,augment_habitual,False
505,preferir,El cliente prefiere el té.,State,1,0,0,0,1,0,augment_habitual,False
506,conocer,El guía conoce la ciudad.,State,1,0,0,0,1,0,augment_habitual,False
507,vivir,La familia vive en Madrid.,State,1,0,0,0,0,0,augment_habitual,False
508,tener,Los estudiantes tienen dudas.,State,1,0,0,0,1,0,augment_habitual,False
509,toser,Juan tose frecuentemente.,Activity,0,1,0,0,0,0,augment_habitual,False
510,estornudar,Juan estornuda mucho.,Activity,0,1,0,0,0,0,augment_habitual,False
511,parpadear,La luz parpadea en la oscuridad.,Semelfactive,0,1,0,1,0,0,augment_habitual,False
512,suspirar,La mujer suspira de cansancio.,Semelfactive,0,1,0,1,0,0,augment_habitual,False
513,golpear,El boxeador golpea el saco.,Semelfactive,0,1,0,1,1,0,augment_habitual,False
514,saltar,El canguro salta alto.,Semelfactive,0,1,0,1,0,0,augment_habitual,False
515,tocar,El cartero toca el timbre.,Semelfactive,0,1,0,1,1,0,augment_habitual,False
516,toser,El paciente tose sin parar.,Semelfactive,0,1,0,1,0,0,augment_habitual,False
517,estornudar,Los niños estornudan por el polvo.,Semelfactive,0,1,0,1,0,0,augment_habitual,False
518,parpadear,El semáforo parpadea en rojo.,Semelfactive,0,1,0,1,0,0,augment_habitual,False
519,golpear,La lluvia golpea la ventana.,Semelfactive,0,1,0,1,1,0,augment_habitual,False
520,saltar,La rana salta al agua.,Semelfactive,0,1,0,1,0,0,augment_habitual,False
521,cicatrizar,La herida cicatriza lentamente.,Accomplishment,0,0,1,0,0,0,augment_habitual,False
522,derretirse,El hielo se derrite al sol.,Accomplishment,0,0,1,0,0,1,augment_habitual,False
523,secarse,La ropa se seca con el viento.,Accomplishment,0,0,1,0,0,1,augment_habitual,False
524,crecer,La planta crece cada día.,Accomplishment,0,0,1,0,0,0,augment_habitual,False
525,madurar,Las frutas maduran en el árbol.,Accomplishment,0,0,1,0,0,0,augment_habitual,False
526,hornearse,El pan se hornea a fuego lento.,Accomplishment,0,0,1,0,0,1,augment_habitual,False
527,derretirse,La nieve se derrite en primavera.,Accomplishment,0,0,1,0,0,1,augment_habitual,False
528,secarse,El charco se seca rápido.,Accomplishment,0,0,1,0,0,1,augment_habitual,False
529,llegar,El tren llega a la estación.,Achievement,0,0,1,1,0,0,augment_habitual,False
530,explotar,La bomba explota de repente.,Achievement,0,0,1,1,0,0,augment_habitual,False
531,estallar,El globo estalla por la presión.,Achievement,0,0,1,1,0,0,augment_habitual,False
532,aparecer,El mago aparece en el escenario.,Achievement,0,0,1,1,0,0,augment_habitual,False
533,romperse,El vaso se rompe en mil pedazos.,Achievement,0,0,1,1,0,1,augment_habitual,False
534,llegar,Los invitados llegan tarde.,Achievement,0,0,1,1,0,0,augment_habitual,False
535,explotar,El volcán explota con furia.,Achievement,0,0,1,1,0,0,augment_habitual,False
536,aparecer,La luna aparece en el cielo.,Achievement,0,0,1,1,0,0,augment_habitual,False
